"di_id","Year","Poorpop","Poorpop.Interp","P20population"
"BR",1992,,31643321.2068457,
"BR",1993,31308529.755818,31308529.755818,20156367.6295002
"BR",1994,,28660081.7053343,
"BR",1995,,26011633.6548507,
"BR",1996,23363185.604367,23363185.604367,17349770.3230524
"BR",1997,,23268961.7140213,
"BR",1998,,23174737.8236756,
"BR",1999,23080513.9333299,23080513.9333299,16531190.3000907
"BR",2000,,21580817.5720918,
"BR",2001,,20081121.2108537,
"BR",2002,18581424.8496156,18581424.8496156,14690896.0106711
"BR",2003,,17773105.7399729,
"BR",2004,,16964786.6303303,
"BR",2005,16156467.5206876,16156467.5206876,15612115.5669418
"BR",2006,,14367737.5712128,
"BR",2007,,12579007.621738,
"BR",2008,10790277.6722632,10790277.6722632,11935245.4088037
"BR",2009,,10289042.8701087,
"BR",2010,9787808.06795406,9787808.06795406,11752437.0291572
"BR",2011,9392205.85059072,9392205.85059072,12310478.173464
"BR",2012,7567958.10447285,7567958.10447285,10572096.8893153
"BR",2013,7748133.61402512,7748133.61402512,11644856.0192174
"BR",2014,,7336328.97529308,
"BR",2015,6924524.33656104,6924524.33656104,12134554.1782555
"BR",2016,,6924524.33656104,
"BR",2017,,6924524.33656104,
"BG",1981,5302.4167839708,5302.4167839708,3209.3607092242
"BG",1982,,5101.9462496652,
"BG",1983,,4901.4757153596,
"BG",1984,4701.005181054,4701.005181054,3331.4406656076
"BG",1985,,4573.1822858194,
"BG",1986,,4445.3593905848,
"BG",1987,4317.5364953502,4317.5364953502,3386.2188204243
"BG",1988,,4910.9796651562,
"BG",1989,,5504.4228349622,
"BG",1990,6097.8660047682,6097.8660047682,4760.3052345593
"BG",1991,,9451.99426656113,
"BG",1992,,12806.1225283541,
"BG",1993,16160.250790147,16160.250790147,11890.55240298
"BG",1994,,28633.583811708,
"BG",1995,,41106.916833269,
"BG",1996,53580.24985483,53580.24985483,30466.536135166
"BG",1997,,101232.899678367,
"BG",1998,,148885.549501903,
"BG",1999,196538.19932544,196538.19932544,113092.56023232
"BG",2000,,164071.45642247,
"BG",2001,,131604.7135195,
"BG",2002,99137.97061653,99137.97061653,62817.643281477
"BG",2003,,83941.689513284,
"BG",2004,,68745.408410038,
"BG",2005,53549.127306792,53549.127306792,47128.3353562
"BG",2006,,66055.3542696047,
"BG",2007,,78561.5812324173,
"BG",2008,91067.80819523,91067.80819523,91067.80819523
"BG",2009,,118681.481170925,
"BG",2010,146295.15414662,146295.15414662,165747.05863642
"BG",2011,160907.8078816,160907.8078816,218266.87220104
"BG",2012,144940.7814432,144940.7814432,200172.9294288
"BG",2013,124833.20174325,124833.20174325,233732.6985708
"BG",2014,,107093.780673915,
"BG",2015,89354.35960458,89354.35960458,195299.99938647
"BG",2016,,89354.35960458,
"BG",2017,,89354.35960458,
"BF",1981,5980837.886296,5980837.886296,4683238.94038
"BF",1982,,6135295.13826107,
"BF",1983,,6289752.39022613,
"BF",1984,6444209.6421912,6444209.6421912,5535968.2163382
"BF",1985,,6573763.66180973,
"BF",1986,,6703317.68142827,
"BF",1987,6832871.7010468,6832871.7010468,6023380.5135472
"BF",1988,,7026615.66510713,
"BF",1989,,7220359.62916747,
"BF",1990,7414103.5932278,7414103.5932278,6520390.7224704
"BF",1991,,7585952.9635668,
"BF",1992,,7757802.3339058,
"BF",1993,7929651.7042448,7929651.7042448,7051377.0006052
"BF",1994,,8124308.9334322,
"BF",1995,,8318966.1626196,
"BF",1996,8513623.391807,8513623.391807,7857417.6112445
"BF",1997,,8538600.04247943,
"BF",1998,,8563576.69315187,
"BF",1999,8588553.3438243,8588553.3438243,7522582.933936
"BF",2000,,8417306.3874262,
"BF",2001,,8246059.4310281,
"BF",2002,8074812.47463,8074812.47463,7144227.26325
"BF",2003,,7916430.27719267,
"BF",2004,,7758048.07975533,
"BF",2005,7599665.882318,7599665.882318,7435935.784827
"BF",2006,,7730391.94527553,
"BF",2007,,7861118.00823307,
"BF",2008,7991844.0711906,7991844.0711906,8438269.2512484
"BF",2009,,8188812.8862837,
